model,acc_train,acc_test,bacc_train,bacc_test,kappa_train,kappa_test,mutual_train,mutual_test,recall_train,recall_test,avg_rule_coverage,avg_rule_precision,avg_conditions_count,rules_count,dataset
XGB_1,1.0,0.8150470219435737,1.0,0.8127586189521674,1.0,0.793959231931338,2.302031711607819,1.6211177489722417,1.0,0.8127586189521674,0.17,1.0,4.18,282,semeion
RF_2,0.9956584659913168,0.9479768786127168,0.9816716456491916,0.848554060042096,0.9903913786610272,0.8903656239547943,0.8039690406917119,0.6849928710813952,0.9816716456491916,0.848554060042096,0.09,0.98,5.97,93,car
SVC_0,0.9978292329956584,0.9421965317919077,0.99126875021752,0.8388002547043454,0.9952128083356716,0.8787751383925443,0.8189620158357453,0.6667894170612586,0.99126875021752,0.8388002547043454,0.09,0.98,5.89,82,car
XGB_1,0.9956584659913168,0.9393063583815028,0.9816716456491916,0.8244059132357004,0.9903913786610272,0.872311261071278,0.8039690406917119,0.653025230197366,0.9816716456491916,0.8244059132357004,0.09,0.98,5.97,93,car
RF_2,0.998125,0.7675,0.9982174688057042,0.7717285190106189,0.9979163248137064,0.741501514856714,2.2903710356797777,1.5178605252728423,0.9982174688057042,0.7717285190106189,0.09,0.96,2.81,466,cmc
SVC_0,1.0,0.7675,1.0,0.7624345494756277,1.0,0.7403340755683683,2.29903146190416,1.4962109797311618,1.0,0.7624345494756277,0.13,0.99,2.68,357,cmc
XGB_1,0.998125,0.74,0.9982174688057042,0.7422756155504661,0.9979163248137064,0.7115417952362793,2.2903710356797777,1.4937863640781457,0.9982174688057042,0.7422756155504661,0.09,0.96,2.81,466,cmc
RF_0,1.0,1.0,1.0,1.0,1.0,1.0,0.3734399346716082,0.4487318132019497,1.0,1.0,0.46,1.0,1.8,5,titanic
SVC_1,1.0,1.0,1.0,1.0,1.0,1.0,0.5074102275122094,0.5591996853260961,1.0,1.0,1.0,1.0,1.0,2,titanic
XGB_0,1.0,1.0,1.0,1.0,1.0,1.0,0.3734399346716082,0.4487318132019497,1.0,1.0,0.46,1.0,1.8,5,titanic
RF_0,1.0,0.9329004329004328,1.0,0.9387520497957514,1.0,0.9216293564326636,1.9454557949138147,1.6870925715345415,1.0,0.9387520497957514,0.17,1.0,3.08,114,segment
SVC_1,1.0,0.9285714285714286,1.0,0.9321668115680948,1.0,0.9165626847048008,1.945180544851038,1.6632477536785155,1.0,0.9321668115680948,0.18,1.0,3.09,124,segment
XGB_1,1.0,0.935064935064935,1.0,0.9406490861624596,1.0,0.9241806753718484,1.9454557949138147,1.7029993642095036,1.0,0.9406490861624596,0.17,1.0,3.08,114,segment
RF_0,1.0,0.9613152804642168,1.0,0.7315533980582525,1.0,0.0844696298919779,0.2387577824862677,0.0037292644807271,1.0,0.7315533980582525,0.04,0.95,3.48,262,seismic-bumps
SVC_0,1.0,1.0,1.0,1.0,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,seismic-bumps
XGB_2,1.0,0.9593810444874274,1.0,0.7758250825082509,1.0,0.3811206749130706,0.2374607220649253,0.0289044576339416,1.0,0.7758250825082509,0.04,0.96,3.48,265,seismic-bumps
RF_1,1.0,0.5884615384615385,1.0,0.5887847700256102,1.0,0.1773490056923189,0.6930431643794752,0.0158461102545456,1.0,0.5887847700256102,0.01,1.0,1.94,580,madelon
SVC_0,1.0,0.6461538461538462,1.0,0.6398809523809523,1.0,0.2821128451380552,0.692810141953591,0.0406884012876603,1.0,0.6398809523809523,0.01,1.0,1.93,597,madelon
XGB_2,1.0,0.6115384615384616,1.0,0.6118784325916715,1.0,0.2234789679899459,0.6930431643794752,0.025242802541764,1.0,0.6118784325916715,0.01,1.0,1.94,580,madelon
RF_1,1.0,0.9373040752351096,1.0,0.9354753244915616,1.0,0.8959093856940665,1.0292296914834398,0.7391322183078872,1.0,0.9354753244915616,0.08,1.0,4.57,274,dna
SVC_0,1.0,0.9420062695924764,1.0,0.930446043989067,1.0,0.9046607431340872,1.0292322296637573,0.7616831933621409,1.0,0.930446043989067,0.09,1.0,4.58,267,dna
XGB_0,1.0,0.932601880877743,1.0,0.9229848783694936,1.0,0.8892056927774098,1.0344144528200356,0.7328219087267523,1.0,0.9229848783694936,0.1,1.0,4.54,207,dna
RF_2,1.0,0.957680250783699,1.0,0.9512244005994006,1.0,0.9320746681808504,1.0223557722496228,0.8485105498917014,1.0,0.9512244005994006,0.1,1.0,4.12,229,splice
SVC_0,1.0,0.9498432601880876,1.0,0.9390647296026704,1.0,0.9196682222029856,1.021682856287232,0.8145410573415162,1.0,0.9390647296026704,0.13,1.0,4.15,186,splice
XGB_1,1.0,0.9498432601880876,1.0,0.9353543580721532,1.0,0.9198580558041672,1.0217641613429986,0.8385263629428812,1.0,0.9353543580721532,0.1,1.0,4.14,232,splice
RF_0,1.0,0.9796875,1.0,0.9788808257680368,1.0,0.959198885815728,0.6923507205482111,0.5968427473224795,1.0,0.9788808257680368,0.13,1.0,4.57,44,kr-vs-kp
SVC_1,1.0,0.996875,1.0,0.9969418960244648,1.0,0.9937478630391248,0.6931459560326638,0.6739821408031597,1.0,0.9969418960244648,0.15,1.0,4.0,47,kr-vs-kp
XGB_1,1.0,0.9859375,1.0,0.9864472030169704,1.0,0.9717491956368202,0.6922870099680994,0.6192286604522651,1.0,0.9864472030169704,0.12,1.0,4.48,44,kr-vs-kp
RF_2,1.0,0.9865702479338844,1.0,0.9929116684841875,1.0,0.8799144972898695,0.2063884972421342,0.1729803024137689,1.0,0.9929116684841875,0.12,1.0,2.64,103,wilt
SVC_1,1.0,0.9834710743801652,1.0,0.9004551019936702,1.0,0.8174144719779313,0.1794000120082837,0.1218380608931072,1.0,0.9004551019936702,0.12,0.99,2.36,102,wilt
XGB_1,1.0,0.9886363636363636,1.0,0.9854326396495072,1.0,0.901545972335232,0.2063884972421342,0.1814025540941501,1.0,0.9854326396495072,0.12,1.0,2.64,103,wilt
RF_0,1.0,0.956,1.0,0.8848873177198409,1.0,0.7916982275412816,0.3934536342603935,0.2074574955478954,1.0,0.8848873177198409,0.04,0.99,4.33,446,churn
SVC_1,1.0,0.97,1.0,0.7516465361344913,1.0,0.6004581413312735,0.1695299323584612,0.0642638265193016,1.0,0.7516465361344913,0.14,0.99,3.04,115,churn
XGB_2,1.0,0.952,1.0,0.8740510697032436,1.0,0.7744021657392088,0.3934536342603935,0.1993696453728249,1.0,0.8740510697032436,0.04,0.99,4.33,446,churn
RF_2,1.0,0.8973172987974098,1.0,0.8873596087695305,1.0,0.757031922325379,0.6099008523907926,0.2941684856357001,1.0,0.8873596087695305,0.02,1.0,3.27,818,phoneme
SVC_0,1.0,0.9555966697502312,1.0,0.9535839047742268,1.0,0.8902022523266,0.6114706709959168,0.4202300001549842,1.0,0.9535839047742268,0.04,1.0,3.13,408,phoneme
XGB_2,1.0,0.8889916743755781,1.0,0.8748389516773488,1.0,0.7392374121544474,0.6099008523907926,0.2790661837616848,1.0,0.8748389516773488,0.02,1.0,3.27,818,phoneme
RF_0,1.0,0.9844322344322344,1.0,0.9811907932596536,1.0,0.9765037938955936,1.1889630203426622,1.1066222651266604,1.0,0.9811907932596536,0.16,1.0,3.63,178,wall-robot-navigation
SVC_2,1.0,0.934981684981685,1.0,0.9304445830688464,1.0,0.9014000501062532,1.1761559384423133,0.9015745091751964,1.0,0.9304445830688464,0.12,1.0,3.37,383,wall-robot-navigation
XGB_0,1.0,0.9853479853479854,1.0,0.9869313656476044,1.0,0.977831602907572,1.1889630203426622,1.1052661159445671,1.0,0.9869313656476044,0.16,1.0,3.63,178,wall-robot-navigation
RF_1,1.0,1.0,1.0,1.0,1.0,1.0,0.6925153620097683,0.692442446947224,1.0,1.0,0.2,1.0,1.68,25,mushroom
SVC_1,1.0,1.0,1.0,1.0,1.0,1.0,0.6925153620097683,0.692442446947224,1.0,1.0,0.2,1.0,1.68,25,mushroom
XGB_2,1.0,1.0,1.0,1.0,1.0,1.0,0.6925153620097683,0.692442446947224,1.0,1.0,0.2,1.0,1.68,25,mushroom
