model,acc_train,acc_test,bacc_train,bacc_test,kappa_train,kappa_test,mutual_train,mutual_test,recall_train,recall_test,avg_rule_coverage,avg_rule_precision,avg_conditions_count,rules_count,measure,dataset
XGB_1,0.99,0.87,0.990082102110579,0.8697502871519209,0.9888870270800576,0.8554903254941466,2.244640224879201,1.816754451403288,0.990082102110579,0.8697502871519209,0.2,0.98,4.24,316,c2,cmc
RF_0,0.9107954545454544,0.91156462585034,0.9491250810110174,0.9470108695652174,0.6852288105859355,0.7363451014057303,0.228892576106227,0.2845834454419462,0.9491250810110174,0.9470108695652174,0.54,0.85,2.29,7,c2,titanic
SVC_1,0.9926136363636364,0.9931972789115646,0.9953538241601144,0.9954819277108432,0.9776469071057045,0.9818878773358888,0.4753406913600138,0.5278638178520152,0.9953538241601144,0.9954819277108432,0.54,0.85,2.29,7,c2,titanic
XGB_0,0.9107954545454544,0.91156462585034,0.9491250810110174,0.9470108695652174,0.6852288105859355,0.7363451014057303,0.228892576106227,0.2845834454419462,0.9491250810110174,0.9470108695652174,0.54,0.85,2.29,7,c2,titanic
RF_0,0.9702380952380952,0.9415584415584416,0.9694566823591332,0.9450821010684052,0.9652729374912876,0.9315780812901102,1.820320968441547,1.7203420991517573,0.9694566823591332,0.9450821010684052,0.55,0.98,5.15,71,c2,segment
SVC_1,0.9626623376623376,0.9329004329004328,0.9624241216681608,0.9347621742533372,0.9564386498687132,0.9214910237083732,1.7914371823554545,1.6863003498607754,0.9624241216681608,0.9347621742533372,0.55,0.98,5.15,71,c2,segment
XGB_1,0.9702380952380952,0.9329004329004328,0.9694566823591332,0.939546871692497,0.9652729374912876,0.9215533767869858,1.820320968441547,1.7105363251114194,0.9694566823591332,0.939546871692497,0.55,0.98,5.15,71,c2,segment
RF_0,0.9714562167392355,0.9729206963249516,0.7781954887218046,0.737378640776699,0.7012310594460845,0.1190360272638754,0.1101706419037534,0.0044175270316811,0.7781954887218046,0.737378640776699,0.23,0.99,3.98,239,c2,seismic-bumps
SVC_0,0.9641993226898888,0.9729206963249516,0.9641993226898888,0.9729206963249516,0.0,0.0,0.0,0.0,0.4820996613449443,0.4864603481624758,0.23,0.99,3.98,239,c2,seismic-bumps
XGB_2,0.9719400096758588,0.9690522243713732,0.7803030303030303,0.6994224422442245,0.7049076220998065,0.368838699832138,0.110566174411421,0.0213130808930576,0.7803030303030303,0.6994224422442245,0.23,0.99,3.98,239,c2,seismic-bumps
RMatrix_C2,1.0,0.5673076923076923,1.0,0.5715398886827459,1.0,0.1414734370413854,0.6930431643794752,0.0104576373334366,1.0,0.5715398886827459,0.01,1.0,2.01,564,,madelon
RF_1,0.9423076923076924,0.945141065830721,0.9461686715691292,0.956277607567006,0.9078049133495756,0.9102405376724444,0.7978288630812748,0.8000500327697134,0.9461686715691292,0.956277607567006,0.61,0.93,5.52,44,c2,dna
SVC_0,0.9442700156985872,0.945141065830721,0.9482076387159944,0.9443487695315804,0.9109361530550404,0.9111208406304728,0.8049327690783776,0.7949948903375277,0.9482076387159944,0.9443487695315804,0.61,0.93,5.52,44,c2,dna
XGB_0,0.9548665620094192,0.9420062695924764,0.9577038464968078,0.9412623274161735,0.9280617752503734,0.9058801952090842,0.8463833971051982,0.7919768243689791,0.9577038464968078,0.9412623274161735,0.61,0.93,5.52,44,c2,dna
RF_2,0.927899686520376,0.9420062695924764,0.936376949808165,0.951559274059274,0.8847224213476416,0.9084801091756388,0.7552099017446627,0.8155384955971029,0.936376949808165,0.951559274059274,0.64,0.93,5.67,49,c2,splice
SVC_0,0.929858934169279,0.9404388714733544,0.9385243997809442,0.9418827263318328,0.8878222750904246,0.9063833402195612,0.7647987699290637,0.8074752671619841,0.9385243997809442,0.9418827263318328,0.64,0.93,5.67,49,c2,splice
XGB_1,0.927115987460815,0.9545454545454546,0.9358776778077648,0.957512627633824,0.8834389574059304,0.92863920022833,0.7528137211435356,0.8560415708040912,0.9358776778077648,0.957512627633824,0.64,0.93,5.67,49,c2,splice
RF_0,0.9444444444444444,0.946875,0.9429484455286528,0.9463916718081304,0.8883975270787096,0.8933782817047715,0.4867437984651673,0.484196042179027,0.9429484455286528,0.9463916718081304,0.41,0.97,4.11,19,c2,kr-vs-kp
SVC_1,0.942488262910798,0.953125,0.9424030172413792,0.9540600482652832,0.8849566626372778,0.9063843895969652,0.5013238386517402,0.5274358402987368,0.9424030172413792,0.9540600482652832,0.41,0.97,4.11,19,c2,kr-vs-kp
XGB_1,0.945226917057903,0.9296875,0.9437022953433816,0.9296433060967944,0.8899503078771149,0.8586794378582083,0.4885801443160322,0.4365484135708915,0.9437022953433816,0.9296433060967944,0.41,0.97,4.11,19,c2,kr-vs-kp
RF_2,0.9842417979850168,0.987603305785124,0.8597487126838737,0.919387602369192,0.8201039618405345,0.871033640501832,0.1254786744142619,0.1447650250207061,0.8597487126838737,0.919387602369192,0.39,0.99,2.84,131,c2,wilt
SVC_1,0.9679669336088866,0.962809917355372,0.7827825355876721,0.7987386513271884,0.5958480468677643,0.5974773026543766,0.0633447810502637,0.0703365983782159,0.7827825355876721,0.7987386513271884,0.39,0.99,2.84,131,c2,wilt
