dataset,model_type,model_number,bacc_train,bacc_test,kappa_train,kappa_test,recall_train,recall_test,model,size
mammographic-masses,XGB,0,0.8557340037697746,0.8177497828968417,0.7121201385110539,0.636576396915653,0.8557340037697746,0.8177497828968417,XGB_0,961
qsar-biodeg,RF,2,1,0.8433005521049,1,0.7041032126282982,1,0.8433005521049,RF_2,1055
qsar-biodeg,SVC,1,0.8662203751796247,0.8515148378191857,0.7422049568189552,0.7099893112365547,0.8662203751796247,0.8515148378191857,SVC_1,1055
qsar-biodeg,XGB,0,0.938315715520653,0.844611801242236,0.8842700567428464,0.6999670230801528,0.938315715520653,0.844611801242236,XGB_0,1055
semeion,RF,0,1,0.9421519607843136,1,0.9358471171543594,1,0.9421519607843136,RF_0,1593
semeion,SVC,0,0.9979174763097785,0.953485294117647,0.9976749704727254,0.9483928187829485,0.9979174763097785,0.953485294117647,SVC_0,1593
semeion,XGB,1,1,0.9270269607843138,1,0.9191058371540598,1,0.9270269607843138,XGB_1,1593
car,RF,2,1,0.8072503055158557,1,0.6900738392673551,1,0.8072503055158557,RF_2,1728
car,SVC,0,0.9828854723001046,0.8630875902407003,0.9760004908334252,0.7943458740346739,0.9828854723001046,0.8630875902407003,SVC_0,1728
car,XGB,1,1,0.865317497494531,1,0.7439719752994299,1,0.865317497494531,XGB_1,1728
cmc,RF,2,1,0.776,1,0.7511111111111111,1,0.776,RF_2,2000
cmc,SVC,0,0.8523888888888888,0.832,0.8359876543209876,0.8133333333333334,0.8523888888888888,0.832,SVC_0,2000
cmc,XGB,1,1,0.7905,1,0.7672222222222222,1,0.7905,XGB_1,2000
titanic,RF,0,0.6900118929929315,0.5870309102939786,0.4463073994974225,0.1718036132123404,0.6900118929929315,0.5870309102939786,RF_0,2201
titanic,SVC,1,0.702290206094884,0.6880659797712448,0.4429651839505242,0.3839510445096684,0.702290206094884,0.6880659797712448,SVC_1,2201
titanic,XGB,0,0.6900118929929315,0.5835097835334152,0.4463073994974225,0.16604523746730054,0.6900118929929315,0.5835097835334152,XGB_0,2201
segment,RF,0,1,0.9805194805194806,1,0.9772727272727272,1,0.9805194805194806,RF_0,2310
segment,SVC,1,0.9692159692159692,0.9614718614718616,0.9640852974186308,0.955050505050505,0.9692159692159692,0.9614718614718616,SVC_1,2310
segment,XGB,1,1,0.983982683982684,1,0.9813131313131312,1,0.983982683982684,XGB_1,2310
seismic-bumps,RF,0,1,0.5182547399124939,1,0.02322984652025781,1,0.5182547399124939,RF_0,2584
