model_bb,bb_num,model_rk,rk_cat,acc_train,acc_test,bacc_train,bacc_test,kappa_train,kappa_test,mutual_train,mutual_test,recall_train,recall_test,avg_rule_coverage,avg_rule_precision,avg_rule_quality,rules_count,dataset,model,approx,filter_key
RF,2,RK,Prec,0.9,0.856,0.6639820027231337,0.6141025641025641,0.8146418138410665,0.7317916318989153,0.5257729127203017,0.4175680685062069,0.6639820027231337,0.6141025641025641,0.10046666666666666,0.8721830444678311,0.8721830444678311,60,balance-scale,RF_2,RK_Prec,balance-scale_RF_2
SVC,1,RK,C2,0.884,0.752,0.7310150112233446,0.6009876543209877,0.7991411552846654,0.5788958921973484,0.6113704561818326,0.3893521409023733,0.7310150112233446,0.6009876543209877,0.0989642857142857,0.8207823451870586,0.47025309119270486,56,balance-scale,SVC_1,RK_C2,balance-scale_SVC_1
SVC,1,RK,Corr,0.834,0.728,0.641179152637486,0.5844444444444444,0.7062238079057651,0.5357728017476788,0.45370696670988786,0.2792703184323715,0.641179152637486,0.5844444444444444,0.2262,0.6192731795708932,0.3518544374261223,30,balance-scale,SVC_1,RK_Corr,balance-scale_SVC_1
SVC,1,RK,Prec,0.89,0.76,0.7356165824915825,0.6168606701940035,0.8085064898891426,0.5966440787350759,0.6131398033894992,0.42432598543871686,0.7356165824915825,0.6168606701940035,0.07340845070422533,0.860913100497992,0.860913100497992,71,balance-scale,SVC_1,RK_Prec,balance-scale_SVC_1
XGB,0,RK,C2,0.9688644688644688,0.9562043795620438,0.9817610114126052,0.9499484004127966,0.9658106435643564,0.9520671759286256,2.5271321868801055,2.5066546735925512,0.9817610114126052,0.9499484004127966,0.04436813186813186,0.9778404315695316,0.8043071259971789,40,soybean,XGB_0,RK_C2,soybean_XGB_0
XGB,0,RK,Corr,0.957875457875458,0.948905109489051,0.975064059571102,0.9688338493292052,0.9537161938037636,0.9440881529850746,2.4915410230933244,2.5186937542612093,0.975064059571102,0.9688338493292052,0.06153846153846151,0.9587961251672934,0.9153876399779852,25,soybean,XGB_0,RK_Corr,soybean_XGB_0
XGB,0,RK,Prec,0.9853479853479854,0.9343065693430656,0.9861834072360388,0.9222910216718266,0.9838984956447052,0.9279284545241993,2.5843996979654102,2.440283021212987,0.9861834072360388,0.9222910216718266,0.03561686540409943,0.9785795782456164,0.9785795782456164,47,soybean,XGB_0,RK_Prec,soybean_XGB_0
RF,1,RK,C2,0.9597069597069596,0.927007299270073,0.9785310567194982,0.9389306599832916,0.9557661927330174,0.9200606838604272,2.4983261404401342,2.428505695020291,0.9785310567194982,0.9389306599832916,0.04476011793084963,0.9701460104816892,0.7895296296192416,41,soybean,RF_1,RK_C2,soybean_RF_1
RF,1,RK,Corr,0.9487179487179488,0.9343065693430656,0.9722405583218394,0.9640768588137008,0.9436835552150176,0.9280504172258855,2.4747289452781005,2.4627384192517505,0.9722405583218394,0.9640768588137008,0.06153846153846151,0.9579816455292842,0.913764468255917,25,soybean,RF_1,RK_Corr,soybean_RF_1
RF,1,RK,Prec,0.9816849816849816,0.8832116788321168,0.9845672821804572,0.8804511278195488,0.9798710419500758,0.8717228464419475,2.561299428383495,2.2856777133298065,0.9845672821804572,0.8804511278195488,0.02978021978021976,0.9787841269841268,0.9787841269841268,50,soybean,RF_1,RK_Prec,soybean_RF_1
