model,acc_train,acc_test,bacc_train,bacc_test,kappa_train,kappa_test,mutual_train,mutual_test,recall_train,recall_test,avg_rule_coverage,avg_rule_precision,avg_conditions_count,rules_count,dataset
RF_1,0.9364207221350078,0.938871473354232,0.9341445767837836,0.9370214171551324,0.8981410147896594,0.8993299995144924,0.7839400653430346,0.7727539721398695,0.9341445767837836,0.9370214171551324,0.24,0.98,4.13,2548,dna
XGB_0,0.9324960753532182,0.9169278996865204,0.9344895225687454,0.909414858645628,0.8930091042940053,0.8656831434609212,0.8114728894617811,0.7706057612999182,0.9344895225687454,0.909414858645628,0.47,0.97,4.35,2548,dna
RF_2,0.9467084639498432,0.9561128526645768,0.9436408372438964,0.9587712287712288,0.9136751915664976,0.9303281565666416,0.7980638369764284,0.8610988642087356,0.9436408372438964,0.9587712287712288,0.19,0.98,3.68,2552,splice
XGB_1,0.9216300940438872,0.9247648902821316,0.9255070031553124,0.9269609937036796,0.8744372864185377,0.8826963296637632,0.7601997540865345,0.8129441853066994,0.9255070031553124,0.9269609937036796,0.17,0.97,4.09,2552,splice
RF_0,0.9687010954616588,0.96875,0.9686511725454916,0.9679956126176416,0.9373023450909832,0.9372395194900712,0.553147772124585,0.5544155403382989,0.9686511725454916,0.9679956126176416,0.35,0.98,2.42,2556,kr-vs-kp
XGB_1,0.9890453834115804,0.9828125,0.9886364403011392,0.9823617221873036,0.9780358862584956,0.9654060853840712,0.6362100276908347,0.6037681289160586,0.9886364403011392,0.9823617221873036,0.28,0.99,2.63,2556,kr-vs-kp
RF_2,1.0,0.9907024793388428,1.0,0.9302820364787135,1.0,0.9023362181068112,0.2063884972421342,0.1553526134524183,1.0,0.9302820364787135,0.16,1.0,1.87,3871,wilt
XGB_1,1.0,0.984504132231405,1.0,0.8892661555312158,1.0,0.8433792121499762,0.2063884972421342,0.140527048706875,1.0,0.8892661555312158,0.16,1.0,1.93,3871,wilt
RF_0,0.952,0.955,0.822931585548408,0.8393172779496243,0.7571595253227597,0.766151159890247,0.2032264836922531,0.1917536754368814,0.822931585548408,0.8393172779496243,0.02,0.99,3.6,4000,churn
XGB_2,0.99675,0.967,0.9878504672897196,0.8758399622244015,0.985828977560731,0.8338000362618103,0.3720446098885166,0.2339836597837869,0.9878504672897196,0.8758399622244015,0.02,1.0,3.52,4000,churn
RF_2,0.9953735831598428,0.8843663274745606,0.9922600619195048,0.8408388246508351,0.9889115804345184,0.7088381754361771,0.5820303568466617,0.2474944615183153,0.9922600619195048,0.8408388246508351,0.05,1.0,2.55,4323,phoneme
XGB_2,0.9902845246356696,0.8852913968547641,0.9924054889975924,0.8545427858505799,0.9770015559790178,0.7218288522358449,0.5637002410190155,0.2600985794698291,0.9924054889975924,0.8545427858505799,0.05,1.0,2.45,4323,phoneme
