model,acc_train,acc_test,bacc_train,bacc_test,kappa_train,kappa_test,mutual_train,mutual_test,recall_train,recall_test,avg_rule_coverage,avg_rule_precision,avg_conditions_count,rules_count,dataset
RF_0,0.9097633136094676,0.7764705882352941,0.9130515106567356,0.7491190979563073,0.8798064591348956,0.6973671882319872,1.0777184297992508,0.7839694515198722,0.9130515106567356,0.7491190979563073,0.19,0.97,3.13,676,vehicle
XGB_0,0.9541420118343196,0.8294117647058824,0.9556320967521306,0.8128647292250234,0.9388570861707776,0.770878839986987,1.183992531828725,0.8520951063308309,0.9556320967521306,0.8128647292250234,0.14,0.98,3.08,676,vehicle
RF_1,0.9908616187989556,0.9947916666666666,0.9867924528301888,0.9924242424242424,0.9796800036380447,0.9884141926140478,0.5966761537969472,0.6130736378924413,0.9867924528301888,0.9924242424242424,0.21,0.99,3.21,766,tic-tac-toe
XGB_2,0.9947780678851176,1.0,0.9924528301886792,1.0,0.9884196442744514,1.0,0.6144390454247615,0.6434915530192904,0.9924528301886792,1.0,0.2,1.0,3.21,766,tic-tac-toe
RF_2,0.8802083333333334,0.911917098445596,0.8784253263439202,0.9112745098039216,0.7576605683946247,0.821519882500136,0.3217932557413269,0.3893137851701935,0.8784253263439202,0.9112745098039216,0.6,0.95,3.53,768,mammographic-masses
XGB_0,0.9127604166666666,0.9430051813471504,0.9050480769230768,0.9371875679200176,0.8217690090888938,0.8834477079330222,0.4305601261696293,0.4830533824348503,0.9050480769230768,0.9371875679200176,0.79,0.98,2.35,768,mammographic-masses
RF_2,0.8957345971563981,0.924170616113744,0.8696921193861218,0.9076802507836992,0.7603062008248833,0.8221472974396797,0.3052210313120279,0.3561501232460017,0.8696921193861218,0.9076802507836992,0.26,0.97,3.86,844,qsar-biodeg
XGB_0,0.914691943127962,0.8957345971563981,0.8906981945997763,0.8797160033167496,0.8009603479787492,0.7594320066334992,0.3397716957458329,0.2990372020066267,0.8906981945997763,0.8797160033167496,0.27,0.98,2.97,844,qsar-biodeg
RF_0,0.814756671899529,0.7962382445141066,0.8144469619690252,0.7889616322728996,0.7941418927246087,0.7728890787412787,1.5634403968583606,1.604214233558184,0.8144469619690252,0.7889616322728996,0.47,0.83,4.79,1274,semeion
XGB_1,0.8273155416012559,0.774294670846395,0.8264497120363432,0.7736155911317202,0.8080891767718612,0.7484888304862023,1.6156615648374717,1.4883155705192248,0.8264497120363432,0.7736155911317202,0.41,0.81,3.97,1274,semeion
RF_2,0.9341534008683068,0.9132947976878611,0.7302144175324808,0.6240306857206159,0.8558388575502853,0.8176740264530747,0.6024222672149717,0.6265324152161318,0.7302144175324808,0.6240306857206159,0.33,0.98,2.35,1382,car
XGB_1,0.9276410998552822,0.9132947976878611,0.6167926613616268,0.6035541586073501,0.8383542544879503,0.8163644405130474,0.5926872552200917,0.6217463661850041,0.6167926613616268,0.6035541586073501,0.32,0.96,2.38,1382,car
RF_2,0.89375,0.805,0.8968299150381445,0.7985033751811075,0.8819482360375579,0.7829716193656093,1.911057213487978,1.6690991246289704,0.8968299150381445,0.7985033751811075,0.26,0.96,3.61,1600,cmc
XGB_1,0.933125,0.805,0.9341534277874836,0.8041145294429924,0.925685542191686,0.7832520528531532,2.001452500503431,1.5990989230168375,0.9341534277874836,0.8041145294429924,0.25,0.96,3.31,1600,cmc
RF_0,0.9926136363636364,0.9931972789115646,0.9700460829493088,0.9794520547945204,0.9649307812097654,0.9749635713339516,0.3307413217571224,0.4091839512627503,0.9700460829493088,0.9794520547945204,0.81,0.99,1.2,1760,titanic
