model_bb,bb_num,model_rk,rk_cat,acc_train,acc_test,bacc_train,bacc_test,kappa_train,kappa_test,mutual_train,mutual_test,recall_train,recall_test,dataset,model,approx,filter_key
XGB,0,RK,C2,0.9319526627218936,0.8470588235294118,0.9330954303863748,0.8239510387488329,0.9092066384032328,0.7940066178869367,1.1214839434956143,0.9245556272322634,0.9330954303863748,0.8239510387488329,vehicle,XGB_0,RK_C2,vehicle_XGB_0
XGB,0,RK,Corr,0.834319526627219,0.7588235294117647,0.8359106463776358,0.7368055555555555,0.7788978769383523,0.6760249140094823,0.8617773067005803,0.7419064585730477,0.8359106463776358,0.7368055555555555,vehicle,XGB_0,RK_Corr,vehicle_XGB_0
XGB,0,RK,Prec,0.9423076923076924,0.7705882352941177,0.9431670424944448,0.75874912464986,0.9229924406173692,0.6946107784431137,1.1681661208385197,0.8255354210192912,0.9431670424944448,0.75874912464986,vehicle,XGB_0,RK_Prec,vehicle_XGB_0
RF,0,RK,C2,0.9733727810650888,0.8588235294117647,0.9739137253651042,0.8411474526385607,0.964479215319944,0.8100027940765577,1.2531853555790071,0.91838030652238,0.9739137253651042,0.8411474526385607,vehicle,RF_0,RK_C2,vehicle_RF_0
RF,0,RK,Corr,0.8121301775147929,0.7705882352941177,0.8161510297397825,0.7538759689922481,0.7493964930921446,0.6920861972877578,0.8248422538321406,0.7488214731647507,0.8161510297397825,0.7538759689922481,vehicle,RF_0,RK_Corr,vehicle_RF_0
RF,0,RK,Prec,0.9896449704142012,0.8294117647058824,0.989351751413059,0.8271462919205737,0.9861777266274472,0.7729366249078851,1.329064457077514,0.9058772745644992,0.989351751413059,0.8271462919205737,vehicle,RF_0,RK_Prec,vehicle_RF_0
SVC,1,RK,C2,0.8357988165680473,0.7705882352941177,0.8397665686107925,0.7560071872571873,0.7809960773325861,0.6919431279620853,0.9363196895909272,0.786370389429488,0.8397665686107925,0.7560071872571873,vehicle,SVC_1,RK_C2,vehicle_SVC_1
SVC,1,RK,Corr,0.7958579881656804,0.7470588235294118,0.799428744884811,0.7243929681429682,0.7277780857974093,0.6587779489333894,0.7911440022536682,0.6773574336862576,0.799428744884811,0.7243929681429682,vehicle,SVC_1,RK_Corr,vehicle_SVC_1
SVC,1,RK,Prec,0.8461538461538461,0.7764705882352941,0.849524167941039,0.76619560994561,0.7947076721816981,0.7008012597841693,0.9905261219758406,0.7801056278492232,0.849524167941039,0.76619560994561,vehicle,SVC_1,RK_Prec,vehicle_SVC_1
XGB,2,RK,C2,0.9843342036553524,0.9375,0.9818024328701088,0.9235209235209236,0.9653207977121988,0.8594436310395315,0.564435912061886,0.4097163520559908,0.9818024328701088,0.9235209235209236,tic-tac-toe,XGB_2,RK_C2,tic-tac-toe_XGB_2
XGB,2,RK,Corr,0.7885117493472585,0.7447916666666666,0.7823296802621174,0.7478354978354979,0.5471524599855488,0.4670292318150918,0.1552063519970956,0.11619146244010362,0.7823296802621174,0.7478354978354979,tic-tac-toe,XGB_2,RK_Corr,tic-tac-toe_XGB_2
XGB,2,RK,Prec,0.97911227154047,0.9322916666666666,0.974255263058788,0.9123376623376624,0.9535957957548634,0.846039970392302,0.5434628403808643,0.39687131835256967,0.974255263058788,0.9123376623376624,tic-tac-toe,XGB_2,RK_Prec,tic-tac-toe_XGB_2
RF,1,RK,C2,0.9843342036553524,0.9375,0.9818024328701088,0.9235209235209236,0.9653207977121988,0.8594436310395315,0.564435912061886,0.4097163520559908,0.9818024328701088,0.9235209235209236,tic-tac-toe,RF_1,RK_C2,tic-tac-toe_RF_1
RF,1,RK,Corr,0.7885117493472585,0.7447916666666666,0.7823296802621174,0.7478354978354979,0.5471524599855488,0.4670292318150918,0.1552063519970956,0.11619146244010362,0.7823296802621174,0.7478354978354979,tic-tac-toe,RF_1,RK_Corr,tic-tac-toe_RF_1
RF,1,RK,Prec,0.97911227154047,0.9322916666666666,0.974255263058788,0.9123376623376624,0.9535957957548634,0.846039970392302,0.5434628403808643,0.39687131835256967,0.974255263058788,0.9123376623376624,tic-tac-toe,RF_1,RK_Prec,tic-tac-toe_RF_1
SVC,1,RK,C2,0.9817232375979112,0.9114583333333334,0.9833544376654773,0.9000750844700287,0.9591712416907155,0.7966608522302516,0.5526083231326909,0.33484238723215737,0.9833544376654773,0.9000750844700287,tic-tac-toe,SVC_1,RK_C2,tic-tac-toe_SVC_1
SVC,1,RK,Corr,0.7963446475195822,0.7291666666666666,0.793331031042554,0.7358278062820673,0.5612990388639651,0.4302020317315375,0.16484242858871384,0.10060518917481864,0.793331031042554,0.7358278062820673,tic-tac-toe,SVC_1,RK_Corr,tic-tac-toe_SVC_1
SVC,1,RK,Prec,0.9843342036553524,0.9166666666666666,0.9843290740953916,0.8995119509448128,0.9648669515429952,0.8060850902663805,0.559126871633232,0.34171767120912777,0.9843290740953916,0.8995119509448128,tic-tac-toe,SVC_1,RK_Prec,tic-tac-toe_SVC_1
XGB,0,RK,C2,0.9440104166666666,0.9481865284974094,0.9411057692307692,0.9475657465768312,0.8866681309027016,0.8951314931536622,0.4788476245851459,0.48372066598961655,0.9411057692307692,0.9475657465768312,mammographic-masses,XGB_0,RK_C2,mammographic-masses_XGB_0
XGB,0,RK,Corr,0.9231770833333334,0.917098445595855,0.9253715034965035,0.919528363399261,0.8461204086068246,0.8333513221802482,0.4270811569886823,0.4095998853692789,0.9253715034965035,0.919528363399261,mammographic-masses,XGB_0,RK_Corr,mammographic-masses_XGB_0
XGB,0,RK,Prec,0.91796875,0.9378238341968912,0.9172858391608392,0.9370788958921974,0.8347540983606557,0.8741577917843947,0.4061886831185062,0.45469698204044656,0.9172858391608392,0.9370788958921974,mammographic-masses,XGB_0,RK_Prec,mammographic-masses_XGB_0
RF,2,RK,C2,0.8567708333333334,0.8911917098445595,0.8531400966183575,0.8902505446623094,0.7093131283935834,0.7795245607354622,0.27719889852265367,0.3435150089279717,0.8531400966183575,0.8902505446623094,mammographic-masses,RF_2,RK_C2,mammographic-masses_RF_2
RF,2,RK,Corr,0.8463541666666666,0.8911917098445595,0.8490286771507862,0.8940087145969499,0.6921383583701922,0.7811673235786405,0.26667552541876755,0.35094884720850106,0.8490286771507862,0.8940087145969499,mammographic-masses,RF_2,RK_Corr,mammographic-masses_RF_2
RF,2,RK,Prec,0.8619791666666666,0.8808290155440415,0.861342378456162,0.8797385620915033,0.7215278205365023,0.7585268998531252,0.28825874196256307,0.3223372820651998,0.861342378456162,0.8797385620915033,mammographic-masses,RF_2,RK_Prec,mammographic-masses_RF_2
SVC,1,RK,C2,0.90625,0.917098445595855,0.917046044122268,0.9247076023391811,0.8050087805290886,0.8302737166098714,0.3816063424269535,0.4102743040821669,0.917046044122268,0.9247076023391811,mammographic-masses,SVC_1,RK_C2,mammographic-masses_SVC_1
SVC,1,RK,Corr,0.8359375,0.8756476683937824,0.8593465695265515,0.8882141250562303,0.6702627185061505,0.7488069414316703,0.2763818682603708,0.33359662868191137,0.8593465695265515,0.8882141250562303,mammographic-masses,SVC_1,RK_Corr,mammographic-masses_SVC_1
SVC,1,RK,Prec,0.8385416666666666,0.8963730569948186,0.8523679729917353,0.9030026990553306,0.6694641704325371,0.7878421457623392,0.25709635219359706,0.35952336924327094,0.8523679729917353,0.9030026990553306,mammographic-masses,SVC_1,RK_Prec,mammographic-masses_SVC_1
XGB,0,RK,C2,0.962085308056872,0.9289099526066352,0.9596676785428984,0.9279643449419568,0.914182400528734,0.8391850007621564,0.47554098234422304,0.3854436673427382,0.9596676785428984,0.9279643449419568,qsar-biodeg,XGB_0,RK_C2,qsar-biodeg_XGB_0
XGB,0,RK,Corr,0.9075829383886256,0.8720379146919431,0.8873046812589871,0.8384121061359868,0.7864303186416044,0.6962733912672602,0.3249745703081128,0.24505581837278295,0.8873046812589871,0.8384121061359868,qsar-biodeg,XGB_0,RK_Corr,qsar-biodeg_XGB_0
XGB,0,RK,Prec,0.9490521327014216,0.914691943127962,0.9453043617191244,0.9055762852404644,0.8847902275497765,0.8047300771208226,0.43677533683594305,0.3437932709761137,0.9453043617191244,0.9055762852404644,qsar-biodeg,XGB_0,RK_Prec,qsar-biodeg_XGB_0
RF,2,RK,C2,0.9312796208530806,0.933649289099526,0.9214637667514044,0.93521421107628,0.845836981236655,0.8493932905067809,0.391952701086391,0.3978771497668449,0.9214637667514044,0.93521421107628,qsar-biodeg,RF_2,RK_C2,qsar-biodeg_RF_2
RF,2,RK,Corr,0.8720379146919431,0.8862559241706162,0.8457835106549917,0.8553291536050156,0.7073828433481217,0.7287045965927355,0.25875627295072345,0.269518850179838,0.8457835106549917,0.8553291536050156,qsar-biodeg,RF_2,RK_Corr,qsar-biodeg_RF_2
RF,2,RK,Prec,0.9964454976303316,0.9289099526066352,0.9947368421052633,0.9235109717868338,0.9920329255399486,0.8366620219848273,0.6173377799622894,0.37689566704718513,0.9947368421052633,0.9235109717868338,qsar-biodeg,RF_2,RK_Prec,qsar-biodeg_RF_2
